0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/img2/group.png HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/img2/ex.jpg HTTP/1.1" 200 36607
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/html/home.css HTTP/1.1" 200 7049
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/img2/home.png HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/js/header1.js HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/html/home.js HTTP/1.1" 200 2176
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/img2/person.png HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/img2/inquiry.png HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/img2/inquiryList.png HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/img2/speaker%20(1).png HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/img2/slideBanner.png HTTP/1.1" 200 114558
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/img2/next.png HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /img/backgorund.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:54:43 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:55:02 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13640
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:55:02 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:55:02 +0900] "GET /TeamProject1/html/home.css HTTP/1.1" 200 7026
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:55:02 +0900] "GET /img/backgorund.jpg HTTP/1.1" 404 830
